address,type,x-text
0x46c024,string,"data/wav/power1.wav"
0x46c038,string,"data/wav/power0.wav"
0x46c04c,string,"data/wav/pldead00.wav"
0x46c064,string,"data/wav/enep00.wav"
0x46c078,string,"data/wav/plst00.wav"
0x46c08c,string,"DirectSound は正常に初期化されました\n"
0x46c0b4,string,"DirectSound オブジェクトの初期化が失敗したよ\n"
0x46c0f4,string,"Wav ファイルじゃない? %s\n"
0x46c118,string,"Wav ファイルじゃない %s\n"
0x46c13c,string,"comp\n"
0x46c188,string,"error : wav file load error %s\n"
0x46c1a8,string,"load BGM\n"
0x46c1b4,string,"play BGM\n"
0x46c1c0,string,"stop BGM\n"
0x46c1cc,string,"stop m_dwNotifyThreadID\n"
0x46c1e8,string,"error : Sound ファイルが読み込めない データを確認 %s\n"
0x46c238,string,"error : イメージがαを持っていません\n"
0x46c260,string,"テクスチャ %s が読み込めません。データが失われてるか壊れています\n"
0x46c2a8,string,"スプライトアニメ %s が読み込めません。データが失われてるか壊れています\n"
0x46c300,string,"%sが読み込めないです。\n"
0x46c318,string,"Reflesh Rate = %f\n"
0x46c368,string,"セレクト画面の読み込みに失敗\n"
0x46c388,string,"data/demo/demo00.rpy"
0x46c3a4,string,"bgm/th06_01.mid"
0x46c3b8,string,"User "
0x46c3c0,string,"./replay/%s"
0x46c3cc,string,"th6_ud????.rpy"
0x46c3dc,string,"./replay"
0x46c3e8,string,"Extra "
0x46c3f0,string,"Stage6"
0x46c3f8,string,"Stage5"
0x46c400,string,"Stage4"
0x46c408,string,"Stage3"
0x46c410,string,"Stage2"
0x46c418,string,"Stage1"
0x46c420,string,"Extra  "
0x46c428,string,"Lunatic"
0x46c430,string,"Hard   "
0x46c438,string,"Normal "
0x46c440,string,"Easy   "
0x46c448,string,"%s ---------"
0x46c458,string,"%s %9d"
0x46c460,string,"Stage  LastScore"
0x46c474,string,"       %2.3f%%"
0x46c484,string,"%s %8s  %8s %7s  %7s"
0x46c49c,string,"No.   Name      Date     Player   Rank"
0x46c4c8,string,"STAGE %d  %.9d"
0x46c4f8,string,"data/title04s.anm"
0x46c50c,string,"data/title01s.anm"
0x46c520,string,"data/title04.anm"
0x46c534,string,"data/title03.anm"
0x46c548,string,"data/title02.anm"
0x46c55c,string,"data/title01.anm"
0x46c580,string,"data/slpl01b.anm"
0x46c594,string,"data/slpl01a.anm"
0x46c5a8,string,"data/slpl00b.anm"
0x46c5bc,string,"data/slpl00a.anm"
0x46c5d0,string,"data/select05.anm"
0x46c5e4,string,"data/select04.anm"
0x46c5f8,string,"data/select03.anm"
0x46c60c,string,"data/select02.anm"
0x46c620,string,"data/select01.anm"
0x46c634,string,"data/title/select00.jpg"
0x46c64c,string,"data/replay00.anm"
0x46c660,string,"Debug : title 開始 VRAM = %d\n"
0x46c68c,string,"CSound::Stop "
0x46c6a0,string,"error : m_apDSBuffer[0]->GetCurrentPosition in HandleWaveStreamNotification\n"
0x46c6f0,string,"error : m_pWaveFile->Read(+) in HandleWaveStreamNotification\n"
0x46c730,string,"error : m_pWaveFile->ResetFile in HandleWaveStreamNotification\n"
0x46c770,string,"error : m_pWaveFile->Read in HandleWaveStreamNotification\n"
0x46c7ac,string,"error : Buffer->Lock in HandleWaveStreamNotification\n"
0x46c7e4,string,"error : FillBufferWithSound in HandleWaveStreamNotification\n"
0x46c824,string,"error : RestoreBuffer in HandleWaveStreamNotification\n"
0x46c85c,string,"error : ResetFile in CWaveFile::Open()\n"
0x46c884,string,"error : ReadOpen in CWaveFile::Open()\n"
0x46c8ac,string,"error : mmioOpen in CWaveFile::Open()\n"
0x46c8d4,string,"too Meny Open Files \n"
0x46c8f0,string,"The file is being used by another application and is unavailable. \n"
0x46c934,string,"The directory specification is incorrect. \n"
0x46c960,string,"Another failure condition occurred. This is the default error for an open-file failure. \n"
0x46c9bc,string,"The file is protected and cannot be opened. \n"
0x46c9ec,string,"error : mmioSetInfo in CWaveFile::ResetFile\n"
0x46ca20,string,"error : mmioinfoIn.pchNext == mmioinfoIn.pchEndRead in CWaveFile::ResetFile\n"
0x46ca70,string,"error : mmioAdvance in CWaveFile::ResetFile\n"
0x46caa0,string,"error : mmioGetInfo in CWaveFile::ResetFile\n"
0x46cad0,string,"error : mmioDescend in CWaveFile::ResetFile\n"
0x46cb00,string,"error : mmioSeek in CWaveFile::ResetFile\n"
0x46cb2c,string,"error : m_hmmio\t== NULL in CWaveFile::ResetFile\n"
0x46cb60,string,"error :\t%s(%s)\n"
0x46cb70,string,"zwave.cpp"
0x46d083,string,">read error"
0x46d0c0,string,"1.0.5"
0x46d484,string,"Application transferred too many scanlines"
0x46d4b0,string,"Invalid SOS parameters for sequential JPEG"
0x46d4dc,string,"Corrupt JPEG data: found marker 0x%02x instead of RST%d"
0x46d514,string,"Premature end of JPEG file"
0x46d530,string,"Warning: unknown JFIF revision number %d.%02d"
0x46d560,string,"Corrupt JPEG data: bad Huffman code"
0x46d584,string,"Corrupt JPEG data: premature end of data segment"
0x46d5b8,string,"Corrupt JPEG data: %u extraneous bytes before marker 0x%02x"
0x46d5f8,string,"Inconsistent progression sequence for component %d coefficient %d"
0x46d63c,string,"Unknown Adobe color transform code %d"
0x46d664,string,"Obtained XMS handle %u"
0x46d67c,string,"Freed XMS handle %u"
0x46d690,string,"Unrecognized component IDs %d %d %d, assuming YCbCr"
0x46d6c4,string,"Opened temporary file %s"
0x46d6e0,string,"Closed temporary file %s"
0x46d6fc,string,"  Ss=%d, Se=%d, Ah=%d, Al=%d"
0x46d71c,string,"    Component %d: dc=%d ac=%d"
0x46d73c,string,"Start Of Scan: %d components"
0x46d75c,string,"Start of Image"
0x46d76c,string,"    Component %d: %dhx%dv q=%d"
0x46d78c,string,"Start Of Frame 0x%02x: width=%u, height=%u, components=%d"
0x46d7c8,string,"Smoothing not supported with nonstandard sampling ratios"
0x46d804,string,"RST%d"
0x46d80c,string,"At marker 0x%02x, recovery action %d"
0x46d834,string,"Selected %d colors for quantization"
0x46d858,string,"Quantizing to %d colors"
0x46d870,string,"Quantizing to %d = %d*%d*%d colors"
0x46d894,string,"        %4u %4u %4u %4u %4u %4u %4u %4u"
0x46d8bc,string,"Unexpected marker 0x%02x"
0x46d8d8,string,"Skipping marker 0x%02x, length %u"
0x46d8fc,string,"    with %d x %d thumbnail image"
0x46d920,string,"Unknown JFIF minor revision number %d.%02d"
0x46d94c,string,"Warning: thumbnail image size does not match data length %u"
0x46d988,string,"JFIF APP0 marker, density %dx%d  %d"
0x46d9ac,string,"        %3d %3d %3d %3d %3d %3d %3d %3d"
0x46d9d4,string,"End Of Image"
0x46d9e4,string,"Obtained EMS handle %u"
0x46d9fc,string,"Freed EMS handle %u"
0x46da10,string,"Define Restart Interval %u"
0x46da2c,string,"Define Quantization Table %d  precision %d"
0x46da58,string,"Define Huffman Table 0x%02x"
0x46da74,string,"Define Arithmetic Table 0x%02x: 0x%02x"
0x46da9c,string,"Unknown APP14 marker (not Adobe), length %u"
0x46dac8,string,"Unknown APP0 marker (not JFIF), length %u"
0x46daf8,string,"Adobe APP14 marker: version %d, flags 0x%04x 0x%04x, transform %d"
0x46db3c,string,"Caution: quantization tables are too coarse for baseline JPEG"
0x46db7c,string,"6a  7-Feb-96"
0x46db8c,string,"Copyright (C) 1996, Thomas G. Lane"
0x46dbb0,string,"Write to XMS failed"
0x46dbc4,string,"Read from XMS failed"
0x46dbdc,string,"Image too wide for this implementation"
0x46dc04,string,"Virtual array controller messed up"
0x46dc28,string,"Unsupported marker type 0x%02x"
0x46dc48,string,"Application transferred too few scanlines"
0x46dc74,string,"Write failed on temporary file --- out of disk space?"
0x46dcac,string,"Seek failed on temporary file"
0x46dccc,string,"Read failed on temporary file"
0x46dcec,string,"Failed to create temporary file %s"
0x46dd10,string,"Invalid JPEG file structure: SOS before SOF"
0x46dd3c,string,"Invalid JPEG file structure: two SOI markers"
0x46dd6c,string,"Unsupported JPEG process: SOF type 0x%02x"
0x46dd98,string,"Invalid JPEG file structure: missing SOS marker"
0x46ddc8,string,"Invalid JPEG file structure: two SOF markers"
0x46ddf8,string,"Cannot quantize to more than %d colors"
0x46de20,string,"Cannot quantize to fewer than %d colors"
0x46de48,string,"Cannot quantize more than %d color components"
0x46de78,string,"Insufficient memory (case %d)"
0x46de98,string,"Not a JPEG file: starts with 0x%02x 0x%02x"
0x46dec4,string,"Quantization table 0x%02x was not defined"
0x46def0,string,"JPEG datastream contains no image"
0x46df14,string,"Huffman table 0x%02x was not defined"
0x46df3c,string,"Backing store not supported"
